pitcher,team,pitch_type,rawmean,n,stuff_mean
"Imai, Tatsuya",HOU,SI,-0.008743492943677501,61,93.1
"Imai, Tatsuya",HOU,SL,-0.0046094491794552335,420,81.7
"Imanaga, Shota",CHC,CU,-0.0036033839304846797,44,95.4
"Imanaga, Shota",CHC,FC,0.001647007477004081,12,100.7
"Imanaga, Shota",CHC,FF,0.0034563723834444273,643,109.1
"Imanaga, Shota",CHC,FS,-0.0003090111269542802,499,97.1
"Imanaga, Shota",CHC,SI,-0.009260964876919332,97,90.4
"Imanaga, Shota",CHC,ST,0.0012534543693078321,202,91.2
"Irvin, Jake",WSH,CH,-0.002638177979374738,43,98.2
"Irvin, Jake",WSH,FC,-0.002065095626845111,97,98.4
"Irvin, Jake",WSH,FF,-0.0025512931130992657,269,97.2
"Irvin, Jake",WSH,SI,-0.0030668958058388375,218,97.1
"Irvin, Jake",WSH,ST,0.01282094249281248,57,105.5
"Irvin, Jake",WSH,SV,0.006396559970060921,264,104.1
"Jacob, Alek",SDP,CH,-0.005869458675281041,18,98.2
"Jacob, Alek",SDP,FF,0.004463323847512188,23,102.4
"Jacob, Alek",SDP,SI,-0.007868177228374407,4,99.4
"Jameson, Drey",ARI,CH,-0.00012328901539149228,32,99.6
"Jameson, Drey",ARI,FF,-0.004095027573895073,41,97.8
"Jameson, Drey",ARI,SI,-0.004835852885497099,22,98.5
"Jameson, Drey",ARI,SL,0.007258394640826983,59,103.1
"Jameson, Drey",ARI,ST,-0.0003084120988588486,19,97.3
"Jansen, Kenley",DET,FC,0.0030490636815753637,273,107.3
"Jansen, Kenley",DET,SI,0.010483736975182747,29,106.6
"Jansen, Kenley",DET,SL,0.006078609691862117,35,101.4
"Javier, Cristian",HOU,CH,0.0009165424142136342,27,100.1
"Javier, Cristian",HOU,CU,-0.003602921755777465,9,98.8
"Javier, Cristian",HOU,FF,0.002826516285216819,85,104.1
"Javier, Cristian",HOU,SI,-0.009421310620382428,11,98.0
"Javier, Cristian",HOU,ST,0.002883658770852807,44,97.2
"Jax, Griffin",TBR,CH,0.004082087055216906,205,104.0
"Jax, Griffin",TBR,CU,0.006853953549488082,79,105.2
"Jax, Griffin",TBR,FC,-0.0004151923798524555,51,100.4
"Jax, Griffin",TBR,FF,0.0003910547579864076,157,101.9
"Jax, Griffin",TBR,SI,0.0011258362993015433,184,104.0
"Jax, Griffin",TBR,ST,0.0072522215954871645,233,101.1
"Johnson, Pierce",CIN,FC,-0.025543576572090387,2,98.7
"Johnson, Pierce",CIN,FF,-0.005767291802074301,152,93.1
"Johnson, Pierce",CIN,SL,0.009821045147625475,275,111.0
"Johnson, Ryan",LAA,CH,-0.0026519848224538247,113,96.8
"Johnson, Ryan",LAA,FC,0.0025872030502316983,129,105.0
"Johnson, Ryan",LAA,SI,-0.004717904545149424,124,95.4
"Johnson, Ryan",LAA,ST,0.004163802711460333,63,97.7
"Johnson, Seth",PHI,FF,0.0017697906448368237,88,103.0
"Johnson, Seth",PHI,FS,0.002071777038509026,4,100.0
"Johnson, Seth",PHI,SI,0.0021728321347230426,24,101.7
"Johnson, Seth",PHI,SL,0.010753047158225225,65,106.9
"Johnson, Seth",PHI,SV,-0.006753601128002629,20,93.9
"Jones, Jared",PIT,CH,0.004360660965543952,89,103.1
"Jones, Jared",PIT,CU,-0.0004436321457328855,61,97.4
"Jones, Jared",PIT,FF,0.005295383889767293,190,109.7
"Jones, Jared",PIT,SL,0.008728223339527507,154,107.4
"Jones, Jared",PIT,ST,0.01716201302284996,6,101.5
"Juenger, Hayden",TOR,CH,-0.012199377804790856,8,98.3
"Juenger, Hayden",TOR,FF,0.000796753480764372,21,100.7
"Juenger, Hayden",TOR,SL,0.0038448252340054345,18,99.9
"Jump, Gage",ATH,CH,-0.004274835938359706,49,97.1
"Jump, Gage",ATH,CU,-0.0017184984104902912,74,95.7
"Jump, Gage",ATH,FF,0.003910201231233482,305,108.7
"Jump, Gage",ATH,SI,-0.013977260761229056,7,98.0
"Jump, Gage",ATH,SL,0.005674136870286681,165,102.6
"Jump, Gage",ATH,ST,0.008815230067389516,39,101.5
"Junis, Jakob",TEX,CH,-0.0018524548086674313,101,97.7
"Junis, Jakob",TEX,FF,8.807143907082111e-05,96,101.2
"Junis, Jakob",TEX,SI,-0.0025702169140909017,99,98.5
"Junis, Jakob",TEX,ST,0.007550988406850535,221,101.6
"Junk, Janson",MIA,CH,0.007580651807457846,190,108.0
"Junk, Janson",MIA,CU,-0.0014273756256443447,70,96.1
"Junk, Janson",MIA,FF,0.0008860451829413086,322,103.3
"Junk, Janson",MIA,SI,-0.002909640857251361,20,99.4
"Junk, Janson",MIA,SL,0.006332404029503128,224,104.1
"Junk, Janson",MIA,ST,0.008999306108448799,129,103.3
"Kahnle, Tommy",BOS,CH,0.004064757435391481,106,103.1
"Kahnle, Tommy",BOS,FF,0.0018528945762298855,51,102.2
"Kahnle, Tommy",BOS,SL,0.006268455562266437,11,100.6
"Karinchak, James",ATL,CU,0.0005275803313282776,59,98.4
"Karinchak, James",ATL,FF,0.001008971600585718,83,102.1
"Kay, Anthony",CWS,FC,-0.001870326375406933,254,98.1
"Kay, Anthony",CWS,FF,-0.004754816960840855,358,92.9
"Kay, Anthony",CWS,FS,0.0045643203134554475,208,103.7
"Kay, Anthony",CWS,SI,-0.0011359375863679863,269,100.4
"Kay, Anthony",CWS,SL,0.0012293791670172879,74,96.9
"Kay, Anthony",CWS,ST,0.004584757310386708,332,96.2
"Keller, Brad",PHI,CU,0.012900671736233646,109,114.1
"Keller, Brad",PHI,FF,-0.0015636823507823767,156,99.1
"Keller, Brad",PHI,FS,-0.00017483672309026588,64,98.8
"Keller, Brad",PHI,SI,0.00014634286677132227,105,101.9
"Keller, Brad",PHI,ST,0.016198682225963455,63,109.1
"Keller, Mitch",PIT,CU,6.937244936914992e-05,129,96.8
"Keller, Mitch",PIT,FC,-0.002286785020451613,114,98.0
"Keller, Mitch",PIT,FF,-0.0008325732486541214,494,100.2
"Keller, Mitch",PIT,FS,0.0008896665266423621,132,99.3
"Keller, Mitch",PIT,SI,-0.005821254890237007,252,92.1
"Keller, Mitch",PIT,SL,0.004720788984005118,126,101.0
"Keller, Mitch",PIT,ST,0.011372195455236161,257,108.4
"Kelly, Antwone",PIT,FF,0.012007246556095197,16,104.3
"Kelly, Antwone",PIT,FS,0.015879512454072636,3,100.8
"Kelly, Antwone",PIT,SL,0.010406526550650597,5,100.8
"Kelly, Antwone",PIT,ST,0.015074299027522406,9,101.7
"Kelly, Kevin",TBR,CH,-0.00781932168018784,128,91.4
"Kelly, Kevin",TBR,FC,-0.0058002185833174735,3,99.6
"Kelly, Kevin",TBR,FF,-0.01024183202534914,25,95.6
"Kelly, Kevin",TBR,SI,0.0005569512803011162,322,103.6
"Kelly, Kevin",TBR,ST,-0.0004768816584531786,59,93.5
"Kelly, Merrill",ARI,CH,-0.0013454588672063368,325,97.2
"Kelly, Merrill",ARI,CU,0.0021000220232865003,148,99.7
"Kelly, Merrill",ARI,FC,-0.0037495138598147844,182,95.1
"Kelly, Merrill",ARI,FF,-0.00043236729296472346,354,100.9
"Kelly, Merrill",ARI,SI,-0.003362852128500688,135,97.2
"Kelly, Merrill",ARI,SL,0.0034330092724443933,149,99.0
"Kelly, Michael",ATH,CH,-0.007722834125161171,1,99.9
"Kelly, Michael",ATH,FC,0.0007844094106985722,32,101.0
"Kelly, Michael",ATH,FF,0.0013231155850614111,27,101.1
"Kelly, Michael",ATH,SI,0.0032334552379325032,11,101.1
"Kelly, Michael",ATH,ST,0.005010510399442864,50,98.7
"Kelly, Zack",BOS,CH,-0.002697855595033616,10,99.4
"Kelly, Zack",BOS,FC,0.0036593520474730947,124,106.4
"Kelly, Zack",BOS,FF,0.0015731878221954387,39,101.7
"Kelly, Zack",BOS,SI,-9.415378857132357e-05,48,101.0
"Kelly, Zack",BOS,ST,0.007233666628786934,62,100.6
"Kempner, William",MIA,CH,-0.0048829805649196105,3,99.7
"Kempner, William",MIA,FC,-0.0006957972200325457,16,100.0
"Kempner, William",MIA,FF,-0.0014881801944284234,64,99.5
"Kempner, William",MIA,SI,-0.011316049993638444,16,96.6
"Kempner, William",MIA,ST,0.008465904160402715,31,101.1
"Kent, Zak",MIN,CU,0.010139332979451864,10,101.8
"Kent, Zak",MIN,FF,-0.00492714606742892,36,97.5
"Kent, Zak",MIN,SI,-0.039579007774591446,1,99.1
"Kent, Zak",MIN,SL,0.0036872768370598994,34,99.8
"Kent, Zak",WSH,CU,0.006641141620154182,30,102.6
"Kent, Zak",WSH,FF,0.0013742137361313562,54,101.9
"Kent, Zak",WSH,SI,-0.08360237628221512,1,98.0
"Kent, Zak",WSH,SL,0.005790639789511432,53,101.6
"Kerkering, Orion",PHI,FF,-0.003301432635929137,172,96.4
"Kerkering, Orion",PHI,FS,-0.009536688867748515,28,95.6
"Kerkering, Orion",PHI,SI,0.00203747405600249,120,104.6
"Kerkering, Orion",PHI,ST,0.011288919211491541,272,108.4
"Kerry, Brett",LAA,CH,0.003447778827439134,13,100.6
"Kerry, Brett",LAA,CU,0.006056088178108136,3,100.3
"Kerry, Brett",LAA,FF,-0.008725111737850752,34,95.3
"Kerry, Brett",LAA,SL,0.007500003117861019,9,100.7
"Kikuchi, Yusei",LAA,CU,-0.002011661355788178,49,96.4
"Kikuchi, Yusei",LAA,FC,-0.0018727885774621558,112,98.6
"Kikuchi, Yusei",LAA,FF,-0.006910150284261482,191,90.7
"Kikuchi, Yusei",LAA,FS,-0.0016791300762723368,122,96.8
"Kikuchi, Yusei",LAA,SL,0.004281873485921807,87,100.3
"Kilian, Caleb",SFG,CU,0.0002769957514327212,145,97.0
"Kilian, Caleb",SFG,FF,-0.0007605350138268998,269,100.3
"Kilian, Caleb",SFG,SI,-0.00018386888541499502,64,101.1
"Kilian, Caleb",SFG,SL,0.009435003302846249,77,106.1
"Kimbrel, Craig",NYM,CH,-0.0013264123117551208,1,100.0
"Kimbrel, Craig",NYM,CU,-0.0013733865185217423,22,98.3
"Kimbrel, Craig",NYM,FF,0.002377020704045973,183,105.1
"Kimbrel, Craig",NYM,ST,0.0010870382315121018,39,96.2
"Kimbrel, Craig",TBR,CH,-0.024317514151334763,4,98.3
"Kimbrel, Craig",TBR,CU,-0.00033377740432375243,14,99.2
"Kimbrel, Craig",TBR,FF,0.00902555857536864,91,111.3
"Kimbrel, Craig",TBR,SI,-0.0055543884352248695,7,99.3
"Kimbrel, Craig",TBR,ST,0.005497000849572942,24,99.5
"King, Bryan",HOU,CH,0.003321233400492929,5,100.2
"King, Bryan",HOU,FF,-0.0026591576893741026,361,96.8
"King, Bryan",HOU,SI,-0.0031965850585717152,67,98.2
"King, Bryan",HOU,ST,0.0036325034566209325,171,95.4
"King, John",MIA,CH,-0.003165980985193948,104,96.5
"King, John",MIA,CU,0.0011848354236766074,48,99.1
"King, John",MIA,FF,-0.015213085315190255,10,96.9
"King, John",MIA,SI,-0.005326738727541941,162,94.0
"King, John",MIA,SL,-0.0007083248337082859,84,94.3
"King, John",MIA,ST,0.002530788940359843,102,94.9
"King, Michael",SDP,CH,-0.006329416850652891,383,90.0
"King, Michael",SDP,FF,0.0005908806262596045,260,102.6
"King, Michael",SDP,SI,-0.0037381152638980048,456,95.2
"King, Michael",SDP,SL,-3.343040556290467e-05,69,95.6
"King, Michael",SDP,ST,0.0064864659745894485,290,99.8
"Kinley, Tyler",ATL,CU,0.004105635336240938,81,102.1
"Kinley, Tyler",ATL,FF,-0.006803560862759765,79,93.8
"Kinley, Tyler",ATL,SI,0.004494108259677887,1,100.1
"Kinley, Tyler",ATL,SL,0.006061033273621766,339,104.0
"Kirby, George",SEA,CH,0.004433773795054072,105,103.4
"Kirby, George",SEA,CU,0.004085203655369143,158,102.8
"Kirby, George",SEA,FC,-0.008167528969984825,46,94.0
"Kirby, George",SEA,FF,0.0008469160284630269,467,103.5
"Kirby, George",SEA,FS,-0.0009533236734569073,2,99.9
"Kirby, George",SEA,SI,0.005826830873190035,332,113.6
"Kirby, George",SEA,ST,0.009286561874067708,471,105.4
"Kittredge, Andrew",BAL,FF,-0.009552016280496092,36,94.6
"Kittredge, Andrew",BAL,SI,0.0005253147415169579,128,102.6
"Kittredge, Andrew",BAL,SL,0.008517955912958062,166,107.3
"Klassen, George",LAA,CH,0.00638979106507678,36,102.7
"Klassen, George",LAA,CU,-8.202880871976959e-05,16,99.2
"Klassen, George",LAA,FF,0.0008447029253551995,72,101.8
"Klassen, George",LAA,SL,0.0022742557963023762,21,99.2
"Klein, John",MIN,CH,0.0027998712207393155,23,100.7
"Klein, John",MIN,CU,0.005219245756355424,6,100.4
"Klein, John",MIN,FC,0.012547772196638916,9,102.9
"Klein, John",MIN,FF,-0.00276631116015246,41,98.7
"Klein, John",MIN,SL,-0.01908575277775526,3,98.2
"Klein, Will",LAD,CU,0.0011321241495591636,95,98.6
"Klein, Will",LAD,FF,0.0008894376202028122,286,103.2
"Klein, Will",LAD,SI,-0.003674780484288931,1,99.9
"Klein, Will",LAD,SL,-0.0027234468556707725,25,96.5
"Klein, Will",LAD,ST,0.01015925756104555,169,105.5
"Kochanowicz, Jack",LAA,CH,-0.0010352660692944937,256,97.7
"Kochanowicz, Jack",LAA,FF,-0.004026191771801568,266,94.7
"Kochanowicz, Jack",LAA,SI,-0.004089393215651351,403,94.6
"Kochanowicz, Jack",LAA,SL,-0.0018961082181906223,180,90.0
"Koenig, Jared",MIL,CH,0.004710036997857969,20,101.2
"Koenig, Jared",MIL,FC,-0.0022277257861181474,24,99.3
"Koenig, Jared",MIL,FF,-0.023034763988107443,2,99.0
"Koenig, Jared",MIL,SI,-0.0026507357522743713,47,99.0
"Koenig, Jared",MIL,SV,-0.00636810059659183,5,98.3
"Kolek, Stephen",KCR,CH,-0.0032346681824674305,100,96.5
"Kolek, Stephen",KCR,FC,-0.002304936968497574,104,98.1
"Kolek, Stephen",KCR,FF,-0.003643244219899857,237,95.5
"Kolek, Stephen",KCR,SI,-0.0014855525413432777,182,99.8
"Kolek, Stephen",KCR,SL,0.0009675748315876936,135,95.4
"Kolek, Stephen",KCR,ST,0.004195968856597924,78,97.4
"Kremer, Dean",BAL,CU,-0.002578837942928658,35,96.8
"Kremer, Dean",BAL,FC,0.004749636847658881,14,101.8
"Kremer, Dean",BAL,FF,0.0006589832919416949,53,101.3
"Kremer, Dean",BAL,FS,0.001969295234011952,100,100.4
"Kremer, Dean",BAL,SI,-0.006995191292927219,44,95.8
"Kremer, Dean",BAL,SL,-6.892585328647069e-06,7,99.3
"Kriske, Brooks",ATH,FF,-0.014765671493175129,12,96.5
"Kriske, Brooks",ATH,FS,0.007893461905615894,19,101.8
"Kriske, Brooks",ATH,SL,0.0021093484413410935,7,99.7
"Krook, Matt",ATH,CH,-0.019200166687369347,1,99.6
"Krook, Matt",ATH,SI,-0.005144201739312848,32,97.7
"Krook, Matt",ATH,ST,0.0022137282429403574,53,96.3
"Kuhnel, Joel",ATH,CH,-0.0018874207631714881,31,98.9
"Kuhnel, Joel",ATH,FC,0.004534434226284416,108,107.2
"Kuhnel, Joel",ATH,FF,-0.014711292676760681,21,94.3
"Kuhnel, Joel",ATH,SI,-0.004518187189859048,199,94.8
"Kuhnel, Joel",ATH,SL,0.003928988697589375,10,100.0
"Kuhnel, Joel",MIL,CH,-0.0037492744624614714,5,99.6
"Kuhnel, Joel",MIL,FC,0.0026178244098817643,71,103.7
"Kuhnel, Joel",MIL,FF,-0.009347500460636284,9,98.3
"Kuhnel, Joel",MIL,SI,-0.00040960920045029565,92,101.1
"Kuhnel, Joel",MIL,SL,0.005686707758286502,16,100.6
"La Sorsa, Joe",BOS,FF,-0.005195886478759348,2,99.8
"La Sorsa, Joe",BOS,SI,0.005230846232734621,2,100.3
"La Sorsa, Joe",BOS,ST,0.011081305565312505,4,100.4
"Lambert, Peter",HOU,CH,0.0012407846240551277,280,100.7
"Lambert, Peter",HOU,FC,-0.0058834790935527155,123,92.8
"Lambert, Peter",HOU,FF,-0.0026037378986463982,380,96.9
"Lambert, Peter",HOU,SI,-0.0014576948197234584,115,99.9
"Lambert, Peter",HOU,SL,0.005778335421914476,212,103.1
"Lambert, Peter",HOU,ST,0.014876622711943293,11,102.0
"Lambert, Peter",HOU,SV,0.0008887671013879745,106,93.8
"Lange, Alex",KCR,CH,0.0035116541015401065,143,102.9
"Lange, Alex",KCR,FC,-0.0039350365149379615,78,96.5
"Lange, Alex",KCR,FF,-0.005380634134462525,80,95.3
"Lange, Alex",KCR,SI,0.0012134097693805499,165,104.0
"Lange, Alex",KCR,SL,0.0007933468472852304,218,94.2
"Latz, Jacob",TEX,CH,-0.0008392522914474395,107,98.6
"Latz, Jacob",TEX,CU,-0.0033300540482467215,53,95.1
"Latz, Jacob",TEX,FF,0.0031999526115635995,343,107.6
"Latz, Jacob",TEX,SL,0.006816690099784787,129,104.1
"Lauer, Eric",LAD,CH,-0.0027661390270524466,83,97.2
"Lauer, Eric",LAD,CU,-0.0012644374342366622,78,96.1
"Lauer, Eric",LAD,FC,-0.0031637490290052504,119,96.7
"Lauer, Eric",LAD,FF,-0.007300462079642644,227,89.5
"Lauer, Eric",LAD,SL,0.001754606193188872,19,99.0
"Lauer, Eric",TOR,CH,-0.0021331975928109595,104,97.4
"Lauer, Eric",TOR,CU,-0.004066066783889255,60,93.9
"Lauer, Eric",TOR,FC,-0.007228756046594032,116,91.1
"Lauer, Eric",TOR,FF,-0.0061436145322493925,275,90.9
"Lauer, Eric",TOR,SL,-0.00671612524224366,47,91.0
"Laweryson, Cody",MIN,CH,0.003026639061254384,43,101.2
"Laweryson, Cody",MIN,FF,0.0010552613327979039,203,103.2
"Laweryson, Cody",MIN,SL,-0.00025631712982431053,50,96.3
"Lawrence, Justin",MIN,FF,0.0046619797649327666,16,101.8
"Lawrence, Justin",MIN,SI,0.0018546146030493133,73,103.4
"Lawrence, Justin",MIN,ST,0.004716186495135991,74,98.0
"Lawrence, Justin",PIT,FF,0.005574787479945107,69,106.3
"Lawrence, Justin",PIT,SI,0.0037512341250204007,167,107.9
"Lawrence, Justin",PIT,ST,0.007271116475185995,155,101.0
"Lawrence, Justin",WSH,SI,0.00041999212407972664,9,100.4
"Lawrence, Justin",WSH,ST,0.004780192393809557,6,99.7
"Lazar, Max",PHI,CU,-0.0014002243030214838,12,99.0
"Lazar, Max",PHI,FF,0.006397028523497284,20,102.9
"Lazar, Max",PHI,FS,0.020494598895311356,11,103.4
"Lazar, Max",PHI,SL,0.00847937457729131,8,100.9
"Leahy, Kyle",STL,CH,0.003116734952666359,177,102.7
"Leahy, Kyle",STL,CU,0.0020988470078260888,217,99.7
"Leahy, Kyle",STL,FF,-0.005462138286219871,398,91.4
"Leahy, Kyle",STL,SI,-0.0006329594927981585,173,101.2
"Leahy, Kyle",STL,SL,0.0034696260098113236,213,99.0
"Leahy, Kyle",STL,ST,0.010028058363373433,176,105.3
"Leasure, Jordan",CWS,FF,-0.0022508730510197913,164,98.1
"Leasure, Jordan",CWS,FS,0.004614735773066059,10,100.5
"Leasure, Jordan",CWS,SI,-0.0001940365298651159,10,100.3
"Leasure, Jordan",CWS,SL,0.005526383133883428,128,102.2
"Lee, Chase",TOR,CH,-0.008127282839268446,3,99.5
"Lee, Chase",TOR,FF,-0.007396264782679888,12,98.4
"Lee, Chase",TOR,SI,-0.0009333202171893347,21,100.2
"Lee, Chase",TOR,ST,0.00062077083348413,20,97.5
"Lee, Dylan",ATL,CH,0.002031287222349902,98,101.2
"Lee, Dylan",ATL,FF,0.003208246701472925,161,106.1
"Lee, Dylan",ATL,SL,0.00211469611833524,304,96.2
"Legumina, Casey",SEA,CH,-0.013510357862244183,21,95.6
"Legumina, Casey",SEA,FF,0.002900624735724874,86,104.2
"Legumina, Casey",SEA,SI,-0.004608316397934686,48,97.4
"Legumina, Casey",SEA,ST,0.009808926656170605,52,102.7
"Legumina, Casey",TBR,CH,-0.014488824284247434,42,91.9
"Legumina, Casey",TBR,FF,0.003428654866097631,137,106.0
"Legumina, Casey",TBR,SI,-0.0028353832835741975,59,98.7
"Legumina, Casey",TBR,SL,0.003476578468942772,69,99.4
"Legumina, Casey",TBR,ST,0.008347568961245746,29,101.0
"Leibrandt, Brandon",CIN,CH,-0.0038086263963055833,27,98.3
"Leibrandt, Brandon",CIN,CU,0.00938107492402196,2,100.4
"Leibrandt, Brandon",CIN,FF,-0.003972993792779038,33,98.2
"Leibrandt, Brandon",CIN,SI,-0.01146620383951813,4,99.0
"Leibrandt, Brandon",CIN,SL,-0.0050111558686529115,22,95.7
"Leibrandt, Brandon",CIN,ST,0.0044961650432510806,11,99.5
"Leiter Jr., Mark",ATH,CU,0.009159846526393988,87,108.2
"Leiter Jr., Mark",ATH,FC,0.0019118168482152192,43,102.1
"Leiter Jr., Mark",ATH,FF,-0.006526715238347635,63,94.9
"Leiter Jr., Mark",ATH,FS,-5.4097005204312154e-05,160,98.2
"Leiter Jr., Mark",ATH,SI,-0.0032699133943372627,123,97.4
"Leiter Jr., Mark",ATH,SL,0.008491764590144158,5,100.6
"Leiter, Jack",TEX,CH,0.0029871125131321007,244,102.9
"Leiter, Jack",TEX,CU,0.000357383324551877,122,97.3
"Leiter, Jack",TEX,FC,-0.004795937083852348,135,94.1
"Leiter, Jack",TEX,FF,0.003383003868040582,532,108.7
"Leiter, Jack",TEX,SI,-0.003589162568740986,110,97.1
"Leiter, Jack",TEX,SL,0.006129482758782248,253,103.9
"Liberatore, Matthew",STL,CH,0.0008211746298392037,210,100.1
"Liberatore, Matthew",STL,CU,0.005277284037803247,237,105.4
"Liberatore, Matthew",STL,FC,-0.015992597829608712,56,85.9
"Liberatore, Matthew",STL,FF,-0.00818354970443165,459,85.8
"Liberatore, Matthew",STL,FS,0.003311138367280364,9,100.3
"Liberatore, Matthew",STL,SI,-0.0024978332719585777,123,98.5
"Liberatore, Matthew",STL,SL,0.005367153497280443,314,102.6
"Littell, Zack",WSH,FC,-0.008046535151240548,370,85.3
"Littell, Zack",WSH,FF,-0.004614676157974496,352,93.2
"Littell, Zack",WSH,FS,-1.3569564878707752e-05,250,97.9
"Littell, Zack",WSH,SI,-0.004199173386686472,172,95.6
"Littell, Zack",WSH,ST,0.0035958364191926726,116,96.0
"Little, Brendon",TOR,CU,0.006226928799774864,35,102.6
"Little, Brendon",TOR,FF,0.006399011307318385,9,101.4
"Little, Brendon",TOR,SI,-0.004529792576795444,50,97.4
"Little, Brendon",TOR,SL,-0.0014439633908323506,33,96.4
"Little, Luke",CHC,FF,0.0022597601470936623,7,100.5
"Little, Luke",CHC,SI,-0.004414193099364638,8,99.4
"Little, Luke",CHC,ST,0.014939234126359224,4,100.8
"Lodolo, Nick",CIN,CH,-0.00042930733861544257,218,98.6
"Lodolo, Nick",CIN,FF,-0.0061446697142985484,210,91.6
"Lodolo, Nick",CIN,SI,0.002098785909972731,255,106.1
"Lodolo, Nick",CIN,ST,0.002282059560115571,229,92.6
"Lopez, Jacob",ATH,CH,-0.002921693219170319,102,96.7
"Lopez, Jacob",ATH,FC,-0.004318144286432607,193,94.1
"Lopez, Jacob",ATH,FF,-0.003182740251272509,327,95.9
"Lopez, Jacob",ATH,SI,-0.0035704193214152868,59,98.0
"Lopez, Jacob",ATH,ST,0.00824958482528903,296,103.0
"Lord, Brad",WSH,CH,-0.0006723572175858108,53,99.1
"Lord, Brad",WSH,FF,-0.0032498112684336213,336,95.8
"Lord, Brad",WSH,SI,-0.0008192726677558918,240,101.0
"Lord, Brad",WSH,SL,0.0012212039157819207,205,95.0
"Lord, Brad",WSH,ST,0.004652958439047125,141,97.2
"Lorenzen, Michael",COL,CH,-0.004408973498343803,271,93.3
"Lorenzen, Michael",COL,CU,-0.0015099937591184249,201,93.6
"Lorenzen, Michael",COL,FC,-0.0035908194114234867,231,95.0
"Lorenzen, Michael",COL,FF,-0.004611847417097478,314,93.4
"Lorenzen, Michael",COL,FS,6.359577117323438e-05,34,99.3
"Lorenzen, Michael",COL,SI,-0.0019315865856345507,278,99.0
"Lorenzen, Michael",COL,SL,0.0018025251634929689,155,96.4
"Lorenzen, Michael",COL,ST,0.00232307460750747,103,94.7
"Lovelady, Richard",NYM,FF,-0.007642621778689896,22,97.1
"Lovelady, Richard",NYM,SI,-0.004296329658324755,46,97.7
"Lovelady, Richard",NYM,SL,-0.0007418648106977344,5,99.4
"Lovelady, Richard",NYM,ST,0.0019902913182653172,53,96.1
"Lovelady, Richard",WSH,FF,-0.003236191113719542,100,97.3
"Lovelady, Richard",WSH,SI,-0.0011840251130210658,110,100.2
"Lovelady, Richard",WSH,SL,0.0036803811153336224,23,99.8
"Lovelady, Richard",WSH,ST,0.002901034652280982,178,94.2
"Lowder, Rhett",CIN,CH,0.001683712848787423,219,101.2
"Lowder, Rhett",CIN,FF,-0.004352539807559734,252,94.2
"Lowder, Rhett",CIN,SI,-0.0019377228372747179,321,98.9
"Lowder, Rhett",CIN,SL,0.0024791484783844566,302,96.9
"Loáisiga, Jonathan",ARI,CH,0.005422031633433137,124,104.7
"Loáisiga, Jonathan",ARI,FC,0.004252167570834549,13,101.5
"Loáisiga, Jonathan",ARI,FF,-0.009764657828883274,72,91.2
"Loáisiga, Jonathan",ARI,SI,0.01013844762564986,144,116.7
"Loáisiga, Jonathan",ARI,SL,0.011879709145387657,81,109.1
"Lucchesi, Joey",LAA,CU,-0.011450076335581559,19,94.4
"Lucchesi, Joey",LAA,FF,-0.00733368432847783,20,97.5
"Lucchesi, Joey",LAA,FS,-0.0032188004115596414,8,99.4
"Lucchesi, Joey",LAA,SI,0.0031257259867039843,53,103.8
"Lucchesi, Joey",LAA,SL,-0.013754647622893875,12,95.0
"Lugo, Seth",KCR,CH,-0.002908227606033171,114,96.5
"Lugo, Seth",KCR,CU,0.008193991173605848,223,110.4
"Lugo, Seth",KCR,FC,-0.0013433759619702757,239,99.1
"Lugo, Seth",KCR,FF,-0.0037724835760872483,261,95.1
"Lugo, Seth",KCR,FS,-0.0029872326801220575,12,99.1
"Lugo, Seth",KCR,SI,-0.007288135337675271,297,89.1
"Lugo, Seth",KCR,SL,0.0029392002651068908,131,98.3
"Lugo, Seth",KCR,ST,0.007193602550940245,190,100.9
"Lugo, Seth",KCR,SV,0.005334160768635836,48,100.7
"Luzardo, Jesús",PHI,FF,-0.002921942293163879,414,96.2
"Luzardo, Jesús",PHI,FS,0.006684401766245213,345,107.2
"Luzardo, Jesús",PHI,SI,0.0019806856558442906,286,106.1
"Luzardo, Jesús",PHI,ST,0.0027551361894003965,592,91.9
"Lynch IV, Daniel",KCR,CH,0.000969163568089086,133,100.3
"Lynch IV, Daniel",KCR,CU,-0.001350265457692397,41,97.3
"Lynch IV, Daniel",KCR,FF,-0.003107810068119947,93,97.5
"Lynch IV, Daniel",KCR,SI,-0.0012250256553913157,150,100.2
"Lynch IV, Daniel",KCR,SL,0.005712641345885235,122,102.4
"López, Reynaldo",ATL,CH,-0.000951298048797374,30,99.3
"López, Reynaldo",ATL,CU,0.0013468443240835955,97,98.8
"López, Reynaldo",ATL,FF,0.002483597861366366,483,106.8
"López, Reynaldo",ATL,SL,-4.275240940676833e-05,275,92.2
"Macko, Adam",TOR,CH,-0.0014976098235430463,28,99.1
"Macko, Adam",TOR,CU,-0.01151624618008403,24,93.2
"Macko, Adam",TOR,FF,-0.003640418797349755,106,96.7
"Macko, Adam",TOR,SL,0.0027473019121576465,112,98.2
"Madden, Ty",DET,CU,-0.03564030312312146,3,97.2
"Madden, Ty",DET,FC,0.0005954836854541029,52,101.3
"Madden, Ty",DET,FF,-0.004262799696929365,104,96.0
"Madden, Ty",DET,FS,-0.007644650863949209,40,95.2
"Madden, Ty",DET,SI,-0.008232316582004212,47,94.6
