config,reliab,pred,desc,mins
baseline,0.8609300724959881,0.3000119541574265,0.3702893063467602,1.1961512684822082
drop_velocity,0.8372751437383149,0.25356642542032337,0.3226396325116867,1.1280320326487223
drop_ivb,0.8655388652122344,0.26732377599086155,0.3442093164700992,1.0365079959233603
drop_hb,0.8605798308376277,0.28821786423162477,0.35227969247502067,1.178359047571818
drop_velo_diff,0.8843444590566131,0.2513509519023244,0.30483157680662004,1.2548686186472575
drop_ivb_diff,0.8675686464538932,0.29419341820482675,0.3591497679679478,1.1042038003603618
drop_hb_diff,0.8616347744555909,0.304860357847718,0.3783937940465663,1.0991010665893555
drop_spin_rate,0.8622263978697147,0.3041357220382267,0.37062789434375454,1.074427103996277
drop_extension,0.8596424475431663,0.2910479723664881,0.3695783507025159,1.0595149119695029
drop_arm_angle,0.8591362101533675,0.2512379263681629,0.3341334139999937,1.0603416999181112
drop_rel_z,0.8602756288264584,0.30976477448547046,0.3745426992025613,1.0409188310305277
drop_vaa,0.8697544929888912,0.2974502115428187,0.3557248700815301,1.057562287648519
drop_vaa_diff,0.8719677147016841,0.28789586060045574,0.356854392745277,1.0550969958305358
drop_rel_x,0.8564131412728901,0.296759073413932,0.37372377612175417,1.0479186495145163
drop_platoon_same,0.8661194500779763,0.29863625169563723,0.3634769214378749,1.068806783358256
